event_id,route_id,vehicle_id,vehicle_type_id,departure_min,return_to_depot_min,stop_count,service_unit_count,customer_sequence,service_unit_ids,total_weight,total_volume,distance_km,route_total_cost_with_startup,energy_cost,carbon_cost,waiting_cost,late_cost,feasible,violations
Q3_R_TW_01,S0090,T1_020,1,580,1184.278230058297,2,4,38->40,"[""C038_S001_OF_002"", ""C038_S002_OF_002"", ""C040_S001_OF_004"", ""C040_S002_OF_004""]",2607.3005000000003,8.04262,128.85997421221225,879.5920657318677,303.1860370989673,65.95790324825168,110.44812538464873,0.0,True,[]
Q3_R_TW_01,S0091,T1_020,1,1200,1447.7423436700738,2,4,40->36,"[""C040_S003_OF_004"", ""C040_S004_OF_004"", ""C036_S001_OF_005"", ""C036_S002_OF_005""]",2669.26978,8.098454,122.5679827653436,1162.8865416366823,283.5658830700533,61.689552919399055,0.0,417.63110564722996,True,[]
Q3_R_TW_01,S0092,T1_021,1,891,1110.815728821027,2,4,36->24,"[""C036_S003_OF_005"", ""C036_S004_OF_005"", ""C036_S005_OF_005"", ""C024_S001_OF_002""]",2616.6364700000004,7.662650999999999,108.92019032866892,707.8546076032907,252.77533081593964,54.99109052987239,0.08818625747858277,0.0,True,[]
Q3_R_TW_01,S0093,T1_021,1,1114,1351.9428267687085,3,4,24->80->51,"[""C024_S002_OF_002"", ""C080_S001_OF_001"", ""C051_S001_OF_005"", ""C051_S002_OF_005""]",2529.5642372,7.284599,104.98626779353793,996.2928390017963,245.37582905898012,53.381334270511765,0.0,297.5356756723045,True,[]
Q3_R_TW_01,S0094,T1_016,1,1230,1460.6437685665937,2,5,51->29,"[""C051_S003_OF_005"", ""C051_S004_OF_005"", ""C051_S005_OF_005"", ""C029_S001_OF_002"", ""C029_S002_OF_002""]",2962.1551308,7.903225999999998,112.4798234542903,1039.0115744507402,257.27138587075694,55.96920405759944,0.0,325.77098452238374,True,[]
Q3_R_TW_01,S0095,T1_022,1,866,1066.0818466012147,1,3,69,"[""C069_S002_OF_004"", ""C069_S003_OF_004"", ""C069_S004_OF_004""]",1716.6644250000002,4.548015,117.5249561613834,711.5695782955617,255.89894726478445,55.67063103077712,0.0,0.0,True,[]
Q3_R_TW_01,S0096,T1_022,1,1080,1259.9317620108386,1,4,63,"[""C063_S001_OF_012"", ""C063_S002_OF_012"", ""C063_S003_OF_012"", ""C063_S004_OF_012""]",2897.6633333333334,7.92595,94.3597395863948,774.549765345155,221.4105029455631,48.167694895075826,0.0,104.97156750451609,True,[]
Q3_R_TW_01,S0097,T1_023,1,882,1051.9658810054193,1,4,63,"[""C063_S005_OF_012"", ""C063_S006_OF_012"", ""C063_S007_OF_012"", ""C063_S008_OF_012""]",2897.6633333333334,7.92595,94.3597395863948,668.4141370384551,220.4126116522401,47.95060436542262,0.05092102079242977,0.0,True,[]
Q3_R_TW_01,S0098,T1_023,1,1080,1259.9317620108386,1,4,63,"[""C063_S009_OF_012"", ""C063_S010_OF_012"", ""C063_S011_OF_012"", ""C063_S012_OF_012""]",2897.6633333333334,7.92595,94.3597395863948,774.549765345155,221.4105029455631,48.167694895075826,0.0,104.97156750451609,True,[]
Q3_R_TW_01,S0099,T1_024,1,890,1051.6235104724847,1,2,65,"[""C065_S002_OF_009"", ""C065_S003_OF_009""]",1456.130377777778,3.9517464444444443,86.8745378454326,627.6218928346241,186.95086686397343,40.67102597065062,0.0,0.0,True,[]
Q3_R_TW_01,S0100,T1_024,1,1080,1247.2449793990381,1,4,65,"[""C065_S004_OF_009"", ""C065_S005_OF_009"", ""C065_S006_OF_009"", ""C065_S007_OF_009""]",2912.2607555555555,7.90349288888889,86.8745378454326,740.5814135986042,204.01310251137394,44.38290300429766,0.0,92.18540808293255,True,[]
Q3_R_TW_01,S0101,T1_017,1,1230,1447.7827075054001,2,4,65->68,"[""C065_S008_OF_009"", ""C065_S009_OF_009"", ""C068_S001_OF_010"", ""C068_S002_OF_010""]",2939.1278577777775,7.438326444444445,104.8917974281862,1042.0390976266372,243.85969369405962,53.051500117634745,0.0,345.1279038149428,True,[]
Q3_R_TW_01,S0102,T1_011,1,1230,1422.5034252539758,1,4,68,"[""C068_S003_OF_010"", ""C068_S004_OF_010"", ""C068_S005_OF_010"", ""C068_S006_OF_010""]",2965.99496,6.97316,101.7770208998458,798.7553303951747,239.72656274023643,52.15234046578166,0.0,106.8764271891566,True,[]
Q3_R_TW_01,S0103,T1_024,1,1260,1452.5034252539758,1,4,68,"[""C068_S007_OF_010"", ""C068_S008_OF_010"", ""C068_S009_OF_010"", ""C068_S010_OF_010""]",2965.99496,6.97316,101.7770208998458,823.7553303951747,239.72656274023643,52.15234046578166,0.0,131.8764271891566,True,[]
Q3_R_TW_01,S0104,T1_021,1,660,886.3877758084934,1,4,41,"[""C041_S001_OF_004"", ""C041_S002_OF_004"", ""C041_S003_OF_004"", ""C041_S004_OF_004""]",2786.4185,7.982144,112.0207333701614,720.1855068506561,262.97539888441526,57.21010796624096,0.0,0.0,True,[]
